2020-07-12 09:23:38,156 INFO frappe.web {'site': 'localhost', 'remote_addr': '192.168.96.1', 'base_url': 'http://localhost:8005/assets/js/bootstrap-4-web.min.js', 'full_path': '/assets/js/bootstrap-4-web.min.js?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 404}
2020-07-12 09:23:38,158 INFO frappe.web {'site': 'localhost', 'remote_addr': '192.168.96.1', 'base_url': 'http://localhost:8005/assets/frappe/js/lib/jquery/jquery.min.js', 'full_path': '/assets/frappe/js/lib/jquery/jquery.min.js?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 404}
2020-07-12 09:23:38,370 INFO frappe.web {'site': 'localhost', 'remote_addr': '192.168.96.1', 'base_url': 'http://localhost:8005/assets/js/bootstrap-4-web.min.js', 'full_path': '/assets/js/bootstrap-4-web.min.js?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 404}
2020-07-12 09:23:38,375 INFO frappe.web {'site': 'localhost', 'remote_addr': '192.168.96.1', 'base_url': 'http://localhost:8005/assets/js/frappe-web.min.js', 'full_path': '/assets/js/frappe-web.min.js?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 404}
2020-07-12 09:23:38,601 INFO frappe.web {'site': 'localhost', 'remote_addr': '192.168.96.1', 'base_url': 'http://localhost:8005/assets/frappe/js/lib/jquery/jquery.min.js', 'full_path': '/assets/frappe/js/lib/jquery/jquery.min.js?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 404}
2020-07-12 09:23:38,604 INFO frappe.web {'site': 'localhost', 'remote_addr': '192.168.96.1', 'base_url': 'http://localhost:8005/assets/js/bootstrap-4-web.min.js', 'full_path': '/assets/js/bootstrap-4-web.min.js?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 404}
2020-07-12 09:23:38,876 INFO frappe.web {'site': 'localhost', 'remote_addr': '192.168.96.1', 'base_url': 'http://localhost:8005/assets/js/frappe-web.min.js', 'full_path': '/assets/js/frappe-web.min.js?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 404}
2020-07-12 09:23:38,881 INFO frappe.web {'site': 'localhost', 'remote_addr': '192.168.96.1', 'base_url': 'http://localhost:8005/assets/frappe/js/lib/jquery/jquery.min.js', 'full_path': '/assets/frappe/js/lib/jquery/jquery.min.js?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 404}
2020-07-12 09:23:39,179 INFO frappe.web {'site': 'localhost', 'remote_addr': '192.168.96.1', 'base_url': 'http://localhost:8005/assets/js/bootstrap-4-web.min.js', 'full_path': '/assets/js/bootstrap-4-web.min.js?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 404}
2020-07-12 09:23:39,184 INFO frappe.web {'site': 'localhost', 'remote_addr': '192.168.96.1', 'base_url': 'http://localhost:8005/assets/js/frappe-web.min.js', 'full_path': '/assets/js/frappe-web.min.js?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 404}
2020-07-12 09:23:39,398 INFO frappe.web {'site': 'localhost', 'remote_addr': '192.168.96.1', 'base_url': 'http://localhost:8005/assets/js/bootstrap-4-web.min.js', 'full_path': '/assets/js/bootstrap-4-web.min.js?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 404}
2020-07-12 09:23:39,401 INFO frappe.web {'site': 'localhost', 'remote_addr': '192.168.96.1', 'base_url': 'http://localhost:8005/assets/frappe/js/lib/jquery/jquery.min.js', 'full_path': '/assets/frappe/js/lib/jquery/jquery.min.js?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 404}
2020-07-12 09:23:39,697 INFO frappe.web {'site': 'localhost', 'remote_addr': '192.168.96.1', 'base_url': 'http://localhost:8005/assets/js/frappe-web.min.js', 'full_path': '/assets/js/frappe-web.min.js?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 404}
2020-07-12 09:23:39,703 INFO frappe.web {'site': 'localhost', 'remote_addr': '192.168.96.1', 'base_url': 'http://localhost:8005/assets/js/bootstrap-4-web.min.js', 'full_path': '/assets/js/bootstrap-4-web.min.js?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 404}
2020-07-12 09:23:40,024 INFO frappe.web {'site': 'localhost', 'remote_addr': '192.168.96.1', 'base_url': 'http://localhost:8005/assets/js/frappe-web.min.js', 'full_path': '/assets/js/frappe-web.min.js?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 404}
